text,label
We are looking for a young aggressive salesman,1
Only fresh graduates should apply,1
He must dominate client negotiations,1
Strong male leader required,1
Looking for a native English speaker only,1
Physically fit candidates preferred,1
We need a rockstar developer who can work nonstop,1
Ideal candidate is unmarried and flexible,1
Women may apply for HR roles only,1
Must handle pressure like a man,1
Energetic youth preferred,1
Salesman required for field work,1
Looking for a girl receptionist,1
Able-bodied candidates only,1
Fast-paced role for young professionals,1
Must be aggressive and fearless,1
Seeking someone with no family commitments,1
Only males should apply,1
Strong command-and-control personality needed,1
Work long hours without complaints,1
Candidates of all ages are encouraged to apply,0
We value collaboration and respectful communication,0
Looking for a sales professional to engage clients,0
All qualified applicants will be considered,0
Inclusive workplace welcoming diverse backgrounds,0
Seeking a motivated individual to lead projects,0
Open to candidates from different career stages,0
Equal opportunity employer,0
We encourage applicants with varied experiences,0
Role requires effective communication skills,0
Team-oriented mindset preferred,0
Looking for someone proactive and adaptable,0
We value empathy and professionalism,0
Flexible work environment available,0
Applicants of all genders are welcome,0
Supportive leadership culture,0
Commitment to diversity and inclusion,0
Looking for problem-solving skills,0
Professional growth opportunities available,0
Respectful and inclusive team culture,0
